Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy	TwinRealVF	TwinMade	SlipTotal	Basal	Prismatic	Pyr1	Pyr2	Slip_share_Twin
1.28726e-14	8.9111	-0.473434	1.64064e-17	-1.64402e-18	-1.31329e-17	28.1067	111.661	-122.9	-0.881038	1.80713	-0.469181	0.39302	0.190918	4.81373	1.4783	1.33646	1.99896	0	0.0506996
1.28948e-14	8.95827	-0.473566	1.60118e-17	-1.77419e-18	-1.09705e-17	28.1386	111.685	-122.947	-0.881576	1.80585	-0.468903	0.393022	0.190918	4.82189	1.48031	1.3384	2.00317	0	0.0506998
1.29176e-14	9.00568	-0.473698	1.53372e-17	-1.72087e-18	-9.83465e-18	28.1708	111.708	-122.994	-0.882138	1.80465	-0.468717	0.393023	0.190918	4.83004	1.48233	1.34034	2.00737	0	0.0506999
1.29394e-14	9.05333	-0.473829	1.53499e-17	-1.85018e-18	-9.07773e-18	28.2034	111.731	-123.041	-0.882719	1.80347	-0.468603	0.393024	0.190918	4.8382	1.48434	1.34228	2.01158	0	0.0507001
1.29581e-14	9.10122	-0.47396	1.48253e-17	-1.78088e-18	-1.05318e-17	28.2362	111.754	-123.089	-0.883316	1.80226	-0.468531	0.393025	0.190918	4.84636	1.48635	1.34422	2.01579	0	0.0507002
1.29807e-14	9.14934	-0.47409	1.53503e-17	-1.69032e-18	-1.0343e-17	28.2694	111.777	-123.136	-0.88393	1.80096	-0.468467	0.393026	0.190918	4.85451	1.48836	1.34615	2.02	0	0.0507004
1.30026e-14	9.19771	-0.474219	1.58388e-17	-1.62764e-18	-7.82443e-18	28.3028	111.8	-123.183	-0.884561	1.79955	-0.468388	0.393027	0.190918	4.86267	1.49037	1.34809	2.02421	0	0.0507005
1.30233e-14	9.24632	-0.474347	1.55481e-17	-1.71347e-18	-8.13247e-18	28.3365	111.822	-123.231	-0.885207	1.79802	-0.468287	0.393029	0.190918	4.87082	1.49238	1.35002	2.02842	0	0.0507007
1.30419e-14	9.29518	-0.474475	1.47447e-17	-1.55984e-18	-8.91905e-18	28.3702	111.844	-123.278	-0.885863	1.79641	-0.468171	0.39303	0.190918	4.87898	1.49438	1.35196	2.03264	0	0.0507008
1.3068e-14	9.34428	-0.474603	1.50977e-17	-1.50955e-18	-8.33498e-18	28.4039	111.866	-123.326	-0.886525	1.79474	-0.468048	0.393031	0.190918	4.88714	1.49639	1.35389	2.03686	0	0.050701
1.30864e-14	9.39362	-0.474729	1.61736e-17	-1.59316e-18	-7.26845e-18	28.4376	111.888	-123.373	-0.887191	1.79302	-0.467925	0.393032	0.190918	4.89529	1.4984	1.35582	2.04108	0	0.0507011
1.31093e-14	9.44321	-0.474855	1.63705e-17	-1.44622e-18	-7.30728e-18	28.4712	111.91	-123.42	-0.887857	1.79126	-0.467799	0.393033	0.190918	4.90345	1.5004	1.35775	2.0453	0	0.0507012
1.31297e-14	9.49305	-0.474981	1.60577e-17	-1.18958e-18	-8.6942e-18	28.5047	111.931	-123.467	-0.88852	1.7895	-0.467662	0.393034	0.190918	4.91161	1.50241	1.35968	2.04952	0	0.0507014
1.31496e-14	9.54315	-0.475106	1.5843e-17	-1.22063e-18	-6.31139e-18	28.538	111.953	-123.514	-0.889179	1.78773	-0.467509	0.393035	0.190918	4.91976	1.50441	1.36161	2.05374	0	0.0507015
1.31708e-14	9.59349	-0.47523	1.61032e-17	-1.17867e-18	-5.98137e-18	28.5712	111.975	-123.56	-0.889836	1.78594	-0.46735	0.393036	0.190918	4.92792	1.50641	1.36354	2.05797	0	0.0507016
1.31945e-14	9.64408	-0.475353	1.59429e-17	-1.01929e-18	-6.57271e-18	28.6043	111.997	-123.607	-0.890494	1.78412	-0.46719	0.393037	0.190918	4.93607	1.50841	1.36547	2.06219	0	0.0507018
1.32211e-14	9.69493	-0.475476	1.62725e-17	-1.09609e-18	-2.48972e-18	28.6372	112.019	-123.653	-0.891151	1.78227	-0.467032	0.393038	0.190918	4.94423	1.51042	1.36739	2.06642	0	0.0507019
1.32398e-14	9.74603	-0.475598	1.59928e-17	-1.1406e-18	-1.45576e-18	28.67	112.041	-123.699	-0.891809	1.78038	-0.466873	0.393039	0.190918	4.95239	1.51242	1.36932	2.07065	0	0.050702
1.32637e-14	9.79739	-0.47572	1.55774e-17	-1.20834e-18	-2.02178e-18	28.7026	112.062	-123.745	-0.892467	1.77848	-0.46671	0.39304	0.190918	4.96054	1.51441	1.37124	2.07488	0	0.0507022
1.32862e-14	9.84901	-0.475841	1.59347e-17	-1.25594e-18	-3.68804e-18	28.7352	112.084	-123.791	-0.893123	1.77656	-0.46654	0.393041	0.190918	4.9687	1.51641	1.37317	2.07912	0	0.0507023
1.33084e-14	9.90088	-0.475962	1.62148e-17	-1.33707e-18	-2.31726e-18	28.7678	112.106	-123.837	-0.893777	1.77463	-0.466357	0.393042	0.190918	4.97685	1.51841	1.37509	2.08335	0	0.0507024
1.33315e-14	9.95302	-0.476082	1.6802e-17	-1.20366e-18	-1.8837e-18	28.8003	112.127	-123.883	-0.894427	1.77272	-0.466153	0.393043	0.190918	4.98501	1.52041	1.37701	2.08759	0	0.0507025
1.33556e-14	10.0054	-0.476201	1.70037e-17	-1.21471e-18	-2.51018e-18	28.8328	112.149	-123.928	-0.895073	1.77082	-0.465924	0.393044	0.190918	4.99316	1.5224	1.37893	2.09183	0	0.0507027
1.33756e-14	10.0581	-0.47632	1.678e-17	-1.36332e-18	-3.89954e-18	28.8654	112.17	-123.974	-0.895713	1.76895	-0.46567	0.393045	0.190918	5.00132	1.5244	1.38086	2.09607	0	0.0507028
1.33958e-14	10.111	-0.476438	1.71763e-17	-1.61584e-18	-3.67094e-18	28.898	112.191	-124.019	-0.896349	1.7671	-0.465391	0.393046	0.190918	5.00948	1.52639	1.38277	2.10031	0	0.0507029
1.34142e-14	10.1642	-0.476555	1.74134e-17	-1.58589e-18	-5.55263e-18	28.9306	112.213	-124.065	-0.896981	1.76526	-0.465093	0.393047	0.190918	5.01763	1.52839	1.38469	2.10455	0	0.050703
1.34388e-14	10.2176	-0.476672	1.70818e-17	-1.67919e-18	-3.32903e-18	28.9632	112.234	-124.11	-0.897609	1.76344	-0.464776	0.393048	0.190918	5.02579	1.53038	1.38661	2.10879	0	0.0507031
1.34607e-14	10.2714	-0.476789	1.69793e-17	-1.74289e-18	-3.5093e-18	28.9958	112.255	-124.155	-0.898233	1.76163	-0.464441	0.393049	0.190918	5.03394	1.53237	1.38853	2.11304	0	0.0507033
1.34815e-14	10.3254	-0.476904	1.85707e-17	-1.82425e-18	-2.60957e-18	29.0284	112.276	-124.2	-0.898852	1.75983	-0.464084	0.393049	0.190918	5.0421	1.53436	1.39045	2.11729	0	0.0507034
